# Paper: Strom et al. (2017)
# URL: https://ui.adsabs.harvard.edu/abs/2017ApJ...836..164S/abstract
# NOTE: This data was extracted from Figure 22

# Data columns
# O32                   Ne3O2
0.9985781990521325      -0.14361702127659584
0.9636650868878354      -0.27127659574468094
0.9690363349131121      -0.4217325227963527
1.1113744075829384      -0.4810030395136779
0.8562401263823063      -0.38753799392097277
0.7649289099526064      -0.39893617021276606
0.6655608214849922      -0.35106382978723416
0.6655608214849922      -0.31686930091185417
0.5903633491311215      -0.31458966565349555
0.609162717219589       -0.37386018237082075
0.7783570300157976      -0.4878419452887539
0.4413112164296997      -0.33282674772036486
0.23720379146919424     -0.39323708206686936
0.2546603475513427      -0.44680851063829796
0.1727488151658767      -0.40691489361702143
0.11903633491311205     -0.3396656534954408
0.09620853080568725     -0.40919452887538005
0.44936808846761434     -0.5334346504559271
0.5420221169036334      -0.5721884498480244
0.631990521327014       -0.5493920972644378
0.7152448657187991      -0.6474164133738602
0.8616113744075828      -0.9962006079027357
0.6830173775671404      -0.7807750759878421
0.5890205371248025      -0.6679331306990883
0.548736176935229       -0.7522796352583588
0.5769352290679304      -0.8787993920972645
0.5890205371248025      -0.9916413373860185
0.5232227488151657      -1.0087386018237083
0.4144549763033174      -1.21048632218845
0.40236966824644527     -0.95516717325228
0.34597156398104256     -1.0372340425531916
0.3325434439178514      -1.0155775075987843
0.3835703001579778      -0.9027355623100305
0.3432859399684045      -0.8685410334346506
0.4896524486571878      -0.7716565349544074
0.4775671406003159      -0.7556990881458968
0.47488151658767763     -0.6941489361702128
0.4990521327014217      -0.6405775075987843
0.46145339652448647     -0.6109422492401216
0.3070300157977881      -0.7215045592705169
0.2909162717219589      -0.6759118541033435
0.22109004739336502     -0.6143617021276597
0.1606635071090048      -0.7876139817629181
0.14454976303317535     -0.7773556231003041
0.11903633491311205     -0.85258358662614
0.22780410742496038     -0.8423252279635259
0.26808846761453387     -0.8503039513677814
0.2398894154818325      -0.9916413373860185
0.1794628751974725      -1.021276595744681
0.15529225908372823     -0.9734042553191491
0.10157977883096359     -0.9483282674772038
0.11097946287519744     -0.9243920972644378
0.05323854660347549     -0.8924772036474167
0.03041074249605069     -0.9129939209726445
0.10292259083728283     -1.2503799392097266
0.08412322274881512     -1.300531914893617
-0.0541864139020537     -1.527355623100304
0.018325434439178556    -1.089665653495441
0.02503949447077436     -0.9471884498480245
0.03443917851500777     -0.9471884498480246
-0.2099526066350711     -0.9483282674772039
-0.23546603475513428    -0.9483282674772039
-0.09178515007898891    -0.9061550151975686
-0.01524486571879935    -0.8822188449848026
-0.03807266982622437    -0.8537234042553192
