# logne logq logOH_12 OII_ratio
1.5  8.50 8.23  1.4063  
1.5  8.50 8.53  1.4022  
1.5  8.50 8.93  1.3912  
1.5  8.50 9.23  1.3804  
2.0  6.50 7.63  1.3227  
2.0  6.50 8.23  1.3190  
2.0  6.50 8.53  1.3129  
2.0  6.50 8.93  1.2904  
2.0  6.50 9.23  1.2560  
2.0  6.75 7.63  1.3203  
2.0  6.75 8.23  1.3158  
2.0  6.75 8.53  1.3084  
2.0  6.75 8.93  1.2843  
2.0  6.75 9.23  1.2487  
2.0  7.00 7.63  1.3198  
2.0  7.00 8.23  1.3143  
2.0  7.00 8.53  1.3055  
2.0  7.00 8.93  1.2796  
2.0  7.00 9.23  1.2429  
2.0  7.25 7.63  1.3204  
2.0  7.25 8.23  1.3136  
2.0  7.25 8.53  1.3035  
2.0  7.25 8.93  1.2760  
2.0  7.25 9.23  1.2385  
2.0  7.50 7.63  1.3215  
2.0  7.50 8.23  1.3136  
2.0  7.50 8.53  1.3022  
2.0  7.50 8.93  1.2732  
2.0  7.50 9.23  1.2367  
2.0  7.75 7.63  1.3230  
2.0  7.75 8.23  1.3139  
2.0  7.75 8.53  1.3017  
2.0  7.75 8.93  1.2715  
2.0  7.75 9.23  1.2380  
2.0  8.00 7.63  1.3245  
2.0  8.00 8.23  1.3149  
2.0  8.00 8.53  1.3021  
2.0  8.00 8.93  1.2711  
2.0  8.00 9.23  1.2410  
2.0  8.25 7.63  1.3261  
2.0  8.25 8.23  1.3161  
2.0  8.25 8.53  1.3032  
2.0  8.25 8.93  1.2717  
2.0  8.25 9.23  1.2436  
2.0  8.50 7.63  1.3276  
2.0  8.50 8.23  1.3175  
2.0  8.50 8.53  1.3048  
2.0  8.50 8.93  1.2728  
2.0  8.50 9.23  1.2455  
2.5  6.50 7.63  1.1260  
2.5  6.50 8.23  1.1184  
2.5  6.50 8.53  1.1064  
2.5  6.50 8.93  1.0654  
2.5  6.50 9.23  1.0122  
2.5  6.75 7.63  1.1214  
2.5  6.75 8.23  1.1123  
2.5  6.75 8.53  1.0981  
2.5  6.75 8.93  1.0545  
2.5  6.75 9.23  1.0003  
2.5  7.00 7.63  1.1205  
2.5  7.00 8.23  1.1094  
2.5  7.00 8.53  1.0926  
2.5  7.00 8.93  1.0464  
2.5  7.00 9.23  0.99119 
2.5  7.25 7.63  1.1219  
2.5  7.25 8.23  1.1085  
2.5  7.25 8.53  1.0889  
2.5  7.25 8.93  1.0403  
2.5  7.25 9.23  0.98476 
2.5  7.50 7.63  1.1245  
2.5  7.50 8.23  1.1085  
2.5  7.50 8.53  1.0867  
2.5  7.50 8.93  1.0356  
2.5  7.50 9.23  0.98076 
2.5  7.75 7.63  1.1275  
2.5  7.75 8.23  1.1094  
2.5  7.75 8.53  1.0859  
2.5  7.75 8.93  1.0327  
2.5  7.75 9.23  0.97994 
2.5  8.00 7.63  1.1308  
2.5  8.00 8.23  1.1113  
2.5  8.00 8.53  1.0867  
2.5  8.00 8.93  1.0318  
2.5  8.00 9.23  0.98217 
2.5  8.25 7.63  1.1342  
2.5  8.25 8.23  1.1137  
2.5  8.25 8.53  1.0887  
2.5  8.25 8.93  1.0325  
2.5  8.25 9.23  0.98560 
2.5  8.50 7.63  1.1375  
2.5  8.50 8.23  1.1165  
2.5  8.50 8.53  1.0919  
2.5  8.50 8.93  1.0344  
2.5  8.50 9.23  0.98849 
3.0  6.50 7.63  0.83001 
3.0  6.50 8.23  0.82167 
3.0  6.50 8.53  0.80909 
3.0  6.50 8.93  0.76849 
3.0  6.50 9.23  0.72231 
3.0  6.75 7.63  0.82424 
3.0  6.75 8.23  0.81451 
3.0  6.75 8.53  0.79977 
3.0  6.75 8.93  0.75748 
3.0  6.75 9.23  0.71154 
3.0  7.00 7.63  0.82294 
3.0  7.00 8.23  0.81118 
3.0  7.00 8.53  0.79384 
3.0  7.00 8.93  0.74953 
3.0  7.00 9.23  0.70373 
3.0  7.25 7.63  0.82442 
3.0  7.25 8.23  0.81007 
3.0  7.25 8.53  0.79005 
3.0  7.25 8.93  0.74387 
3.0  7.25 9.23  0.69851 
3.0  7.50 7.63  0.82731 
3.0  7.50 8.23  0.81021 
3.0  7.50 8.53  0.78779 
3.0  7.50 8.93  0.73983 
3.0  7.50 9.23  0.69525 
3.0  7.75 7.63  0.83086 
3.0  7.75 8.23  0.81136 
3.0  7.75 8.53  0.78709 
3.0  7.75 8.93  0.73735 
3.0  7.75 9.23  0.69359 
3.0  8.00 7.63  0.83476 
3.0  8.00 8.23  0.81331 
3.0  8.00 8.53  0.78794 
3.0  8.00 8.93  0.73649 
3.0  8.00 9.23  0.69351 
3.0  8.25 7.63  0.83883 
3.0  8.25 8.23  0.81601 
3.0  8.25 8.53  0.79012 
3.0  8.25 8.93  0.73699 
3.0  8.25 9.23  0.69471 
3.0  8.50 7.63  0.84279 
3.0  8.50 8.23  0.81915 
3.0  8.50 8.53  0.79341 
3.0  8.50 8.93  0.73875 
3.0  8.50 9.23  0.69634 
3.5  6.50 7.63  0.57975 
3.5  6.50 8.23  0.57498 
3.5  6.50 8.53  0.56815 
3.5  6.50 8.93  0.54665 
3.5  6.50 9.23  0.52307 
3.5  6.75 7.63  0.57528 
3.5  6.75 8.23  0.56995 
3.5  6.75 8.53  0.56214 
3.5  6.75 8.93  0.54004 
3.5  6.75 9.23  0.51714 
3.5  7.00 7.63  0.57391 
3.5  7.00 8.23  0.56754 
3.5  7.00 8.53  0.55841 
3.5  7.00 8.93  0.53540 
3.5  7.00 9.23  0.51301 
3.5  7.25 7.63  0.57448 
3.5  7.25 8.23  0.56670 
3.5  7.25 8.53  0.55614 
3.5  7.25 8.93  0.53222 
3.5  7.25 9.23  0.51042 
3.5  7.50 7.63  0.57607 
3.5  7.50 8.23  0.56667 
3.5  7.50 8.53  0.55477 
3.5  7.50 8.93  0.53008 
3.5  7.50 9.23  0.50890 
3.5  7.75 7.63  0.57814 
3.5  7.75 8.23  0.56726 
3.5  7.75 8.53  0.55433 
3.5  7.75 8.93  0.52881 
3.5  7.75 9.23  0.50812 
3.5  8.00 7.63  0.58050 
3.5  8.00 8.23  0.56842 
3.5  8.00 8.53  0.55478 
3.5  8.00 8.93  0.52835 
3.5  8.00 9.23  0.50791 
3.5  8.25 7.63  0.58300 
3.5  8.25 8.23  0.57001 
3.5  8.25 8.53  0.55600 
3.5  8.25 8.93  0.52859 
3.5  8.25 9.23  0.50816 
3.5  8.50 7.63  0.58545 
3.5  8.50 8.23  0.57188 
3.5  8.50 8.53  0.55788 
3.5  8.50 8.93  0.52953 
3.5  8.50 9.23  0.50877 
4.0  6.50 7.63  0.45153 
4.0  6.50 8.23  0.44971 
4.0  6.50 8.53  0.44731 
4.0  6.50 8.93  0.44001 
4.0  6.50 9.23  0.43155 
4.0  6.75 7.63  0.44888 
4.0  6.75 8.23  0.44704 
4.0  6.75 8.53  0.44445 
4.0  6.75 8.93  0.43708 
4.0  6.75 9.23  0.42904 
4.0  7.00 7.63  0.44776 
4.0  7.00 8.23  0.44568 
4.0  7.00 8.53  0.44274 
4.0  7.00 8.93  0.43504 
4.0  7.00 9.23  0.42733 
4.0  7.25 7.63  0.44762 
4.0  7.25 8.23  0.44509 
4.0  7.25 8.53  0.44167 
4.0  7.25 8.93  0.43365 
4.0  7.25 9.23  0.42624 
4.0  7.50 7.63  0.44802 
4.0  7.50 8.23  0.44495 
4.0  7.50 8.53  0.44106 
4.0  7.50 8.93  0.43274 
4.0  7.50 9.23  0.42565 
4.0  7.75 7.63  0.44869 
4.0  7.75 8.23  0.44510 
4.0  7.75 8.53  0.44083 
4.0  7.75 8.93  0.43219 
4.0  7.75 9.23  0.42532 
4.0  8.00 7.63  0.44954 
4.0  8.00 8.23  0.44550 
4.0  8.00 8.53  0.44097 
4.0  8.00 8.93  0.43201 
4.0  8.00 9.23  0.42522 
4.0  8.25 7.63  0.45044 
4.0  8.25 8.23  0.44609 
4.0  8.25 8.53  0.44140 
4.0  8.25 8.93  0.43205 
4.0  8.25 9.23  0.42526 
4.0  8.50 7.63  0.45135 
4.0  8.50 8.23  0.44678 
4.0  8.50 8.53  0.44211 
4.0  8.50 8.93  0.43238 
4.0  8.50 9.23  0.42541 
4.5  6.50 7.63  0.40187 
4.5  6.50 8.23  0.40131 
4.5  6.50 8.53  0.40066 
4.5  6.50 8.93  0.39903 
4.5  6.50 9.23  0.39698 
4.5  6.75 7.63  0.40037 
4.5  6.75 8.23  0.39991 
4.5  6.75 8.53  0.39936 
4.5  6.75 8.93  0.39783 
4.5  6.75 9.23  0.39602 
4.5  7.00 7.63  0.39954 
4.5  7.00 8.23  0.39912 
4.5  7.00 8.53  0.39856 
4.5  7.00 8.93  0.39705 
4.5  7.00 9.23  0.39537 
4.5  7.25 7.63  0.39918 
4.5  7.25 8.23  0.39873 
4.5  7.25 8.53  0.39812 
4.5  7.25 8.93  0.39653 
4.5  7.25 9.23  0.39497 
4.5  7.50 7.63  0.39908 
4.5  7.50 8.23  0.39856 
4.5  7.50 8.53  0.39787 
4.5  7.50 8.93  0.39620 
4.5  7.50 9.23  0.39472 
4.5  7.75 7.63  0.39915 
4.5  7.75 8.23  0.39855 
4.5  7.75 8.53  0.39780 
4.5  7.75 8.93  0.39601 
4.5  7.75 9.23  0.39458 
4.5  8.00 7.63  0.39927 
4.5  8.00 8.23  0.39864 
4.5  8.00 8.53  0.39782 
4.5  8.00 8.93  0.39593 
4.5  8.00 9.23  0.39453 
4.5  8.25 7.63  0.39944 
4.5  8.25 8.23  0.39877 
4.5  8.25 8.53  0.39793 
4.5  8.25 8.93  0.39592 
4.5  8.25 9.23  0.39452 
4.5  8.50 7.63  0.39961 
4.5  8.50 8.23  0.39895 
4.5  8.50 8.53  0.39812 
4.5  8.50 8.93  0.39596 
4.5  8.50 9.23  0.39450 
5.0  6.50 7.63  0.38459 
5.0  6.50 8.23  0.38448 
5.0  6.50 8.53  0.38439 
5.0  6.50 8.93  0.38450 
5.0  6.50 9.23  0.38466 
5.0  6.75 7.63  0.38372 
5.0  6.75 8.23  0.38371 
5.0  6.75 8.53  0.38374 
5.0  6.75 8.93  0.38404 
5.0  6.75 9.23  0.38432 
5.0  7.00 7.63  0.38312 
5.0  7.00 8.23  0.38317 
5.0  7.00 8.53  0.38332 
5.0  7.00 8.93  0.38372 
5.0  7.00 9.23  0.38408 
5.0  7.25 7.63  0.38274 
5.0  7.25 8.23  0.38289 
5.0  7.25 8.53  0.38313 
5.0  7.25 8.93  0.38357 
5.0  7.25 9.23  0.38395 
5.0  7.50 7.63  0.38250 
5.0  7.50 8.23  0.38274 
5.0  7.50 8.53  0.38305 
5.0  7.50 8.93  0.38348 
5.0  7.50 9.23  0.38385 
5.0  7.75 7.63  0.38234 
5.0  7.75 8.23  0.38269 
5.0  7.75 8.53  0.38303 
5.0  7.75 8.93  0.38343 
5.0  7.75 9.23  0.38381 
5.0  8.00 7.63  0.38222 
5.0  8.00 8.23  0.38266 
5.0  8.00 8.53  0.38302 
5.0  8.00 8.93  0.38343 
5.0  8.00 9.23  0.38378 
5.0  8.25 7.63  0.38212 
5.0  8.25 8.23  0.38265 
5.0  8.25 8.53  0.38304 
5.0  8.25 8.93  0.38338 
5.0  8.25 9.23  0.38374 
5.0  8.50 7.63  0.38203 
5.0  8.50 8.23  0.38263 
5.0  8.50 8.53  0.38304 
5.0  8.50 8.93  0.38338 
5.0  8.50 9.23  0.38369 
