54	6.522	3.71895
53	6.356	0.0814001
52	6.193	0.194889
51	6.073	0.116432
50	5.878	0.254103
49	5.726	0.181582
48	5.577	0.281095
47	5.431	0.113071
46	5.289	0.0962975
45	5.115	0.191342
44	4.98	0.13148
43	4.816	0.0948331
42	4.657	0.200943
41	4.502	0.101179
40	4.293	0.0672463
39	4.206	0.060636
38	4.038	0.0866905
37	3.902	0.448212
36	3.744	0.0870167
35	3.593	0.172699
34	3.47	0.77198
33	3.285	0.0838218
32	3.129	0
31	2.981	0.605484
30	2.839	0
29	2.685	0.0770767
28	2.539	0.220955
27	2.384	0.579848
26	2.238	0.206432
25	2.145	0
24	1.944	0.142758
23	1.812	0.297044
22	1.689	0.288124
21	1.54	0
20	1.466	0
19	1.366	0.108652
18	1.282	0.172123
17	1.177	0.111642
16	1.112	0.164694
15	1.036	0.246764
14	0.965	0.130397
13	0.932	0.218404
12	0.844	0.0811823
11	0.764	0
10	0.732	0
8	0.64	0
