54	6.522	4.56967
53	6.356	0.202741
52	6.193	0.137274
51	6.073	0.0902387
50	5.878	0.0387161
49	5.726	0.049818
48	5.577	0.0337765
47	5.431	0.286827
46	5.289	0
45	5.115	0.124029
44	4.98	0.123201
43	4.816	0.0339533
42	4.657	0.0672036
41	4.502	0
40	4.293	0
39	4.206	0.0935676
38	4.038	0.054507
37	3.902	0
36	3.744	0.217091
35	3.593	0.126835
34	3.47	0
33	3.285	0.0341916
32	3.129	0
31	2.981	0.168402
30	2.839	0.440614
29	2.685	0
28	2.539	0
27	2.384	0.292501
26	2.238	0.170482
25	2.145	0.13802
24	1.944	0.627393
23	1.812	0.149866
22	1.689	0.146876
21	1.54	0.109379
20	1.466	0.0368191
19	1.366	0.0851182
18	1.282	0.215909
17	1.177	0
16	1.112	0.335938
15	1.036	0.501065
14	0.965	0
13	0.932	0.06309
12	0.844	0
11	0.764	0
10	0.732	0
9	0.687	0
8	0.64	0
