| slit |                    name | maskdef_id |  objname |     objra |  objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | maskdef_extract |
|   26 | SPAT0024-SLIT0026-MSC01 |       1011 |     1011 | 150.16594 | 2.85990 |        24.3 |        0.464 |      3.00 |    0.843 | 0.01 |           False |
|   66 | SPAT0067-SLIT0066-MSC01 |       1012 |     1012 | 150.15327 | 2.82480 |        67.0 |        0.533 |      4.00 |    0.400 | 0.00 |            True |
|  106 | SPAT0105-SLIT0106-MSC01 |       2006 |     2006 | 150.14816 | 2.84254 |       105.3 |        0.459 |      3.00 |    0.919 | 0.00 |           False |
|  148 | SPAT0146-SLIT0148-MSC01 |       2004 |     2004 | 150.14235 | 2.86818 |       145.7 |        0.440 |      3.00 |    1.029 | 0.09 |           False |
|  188 | SPAT0188-SLIT0188-MSC01 |       1002 |     1002 | 150.13463 | 2.85315 |       187.6 |        0.446 |      3.00 |    0.893 | 0.21 |           False |
|  230 | SPAT0229-SLIT0230-MSC01 |       2000 |     2000 | 150.13270 | 2.84463 |       229.0 |        0.514 |      3.00 |    1.252 | 0.00 |           False |
|  270 | SPAT0270-SLIT0270-MSC01 |       1003 |     1003 | 150.13019 | 2.83859 |       269.9 |        0.474 |      3.00 |    1.215 | 0.00 |           False |
|  312 | SPAT0309-SLIT0312-MSC01 |       3000 |     3000 | 150.11966 | 2.81394 |       309.3 |        0.400 |      3.00 |    1.123 | 0.19 |           False |
|  354 | SPAT0364-SLIT0354-MSC01 |       1000 |     1000 | 150.11813 | 2.89166 |       364.5 |        0.887 |      3.00 |    0.400 | 0.47 |           False |
|  394 | SPAT0394-SLIT0394-MSC01 |       1005 |     1005 | 150.11533 | 2.86459 |       394.2 |        0.523 |      3.00 |    0.499 | 0.00 |           False |
|  394 | SPAT0406-SLIT0394-MSC01 |       1005 | SERENDIP | 150.10661 | 2.86459 |       405.7 |        0.871 |      3.00 |    0.659 | 0.00 |           False |
|  436 | SPAT0436-SLIT0436-MSC01 |       1010 |     1010 | 150.11075 | 2.84321 |       436.0 |        0.516 |      4.00 |    0.400 | 0.00 |            True |
|  476 | SPAT0474-SLIT0476-MSC01 |       1008 |     1008 | 150.09776 | 2.83722 |       474.0 |        0.422 |      3.00 |    1.376 | 0.00 |           False |
